,County,State,Temp
820,Jefferson County, Indiana,52
821,Jennings County, Indiana,48.99
822,Johnson County, Indiana,44.6
823,Morgan County, Indiana,44.01
824,Gibson County, Indiana,64.4
825,Newton County, Indiana,75.2
826,Orange County, Indiana,63
827,St. Joseph County, Indiana,39.2
828,Kosciusko County, Indiana,39.2
829,Marshall County, Indiana,69.01
830,Switzerland County, Indiana,50
831,Vanderburgh County, Indiana,64.4
832,Blackford County, Indiana,41
833,Carroll County, Indiana,41
834,Scott County, Indiana,36
835,Harrison County, Indiana,72
836,Huntington County, Indiana,39.2
837,LaPorte County, Indiana,39.99
838,Wabash County, Indiana,39.2
839,White County, Indiana,59
840,Jasper County, Indiana,78.8
841,Jay County, Indiana,41
842,Martin County, Indiana,80.6
843,Porter County, Indiana,39.99
844,Shelby County, Indiana,63
845,Ripley County, Indiana,48
846,Spencer County, Indiana,59
847,Sullivan County, Indiana,46.99
848,Tipton County, Indiana,64.4
849,Tippecanoe County, Indiana,42.01
850,Vigo County, Indiana,50
851,Warrick County, Indiana,64.4
852,Hamilton County, Indiana,46.99
853,DeKalb County, Indiana,77
854,LaGrange County, Indiana,39.2
855,Bartholomew County, Indiana,46.99
856,Rush County, Indiana,44.6
857,Boone County, Indiana,46.99
858,Fulton County, Indiana,77
859,Lake County, Indiana,39.2
860,Montgomery County, Indiana,42.01
861,Noble County, Indiana,39.2
862,Adams County, Indiana,52
863,Clark County, Indiana,60.01
864,Fayette County, Indiana,77
865,Delaware County, Iowa,50
866,Jefferson County, Iowa,52
867,Wayne County, Iowa,37
868,Allamakee County, Iowa,35.6
869,Linn County, Iowa,35.6
870,Scott County, Iowa,36
871,Dallas County, Iowa,79
872,O'Brien County, Iowa,34
873,Benton County, Iowa,37.99
874,Butler County, Iowa,46.99
875,Dubuque County, Iowa,35.01
876,Fremont County, Iowa,44.01
877,Hamilton County, Iowa,46.99
878,Pocahontas County, Iowa,46.4
879,Taylor County, Iowa,77
880,Union County, Iowa,51.01
881,Van Buren County, Iowa,39.2
882,Worth County, Iowa,34
883,Ringgold County, Iowa,37.4
884,Adams County, Iowa,52
885,Adair County, Iowa,60.01
886,Audubon County, Iowa,34
887,Chickasaw County, Iowa,73
888,Clarke County, Iowa,75
889,Davis County, Iowa,44.01
890,Dickinson County, Iowa,33.8
891,Ida County, Iowa,33.8
892,Johnson County, Iowa,44.6
893,Keokuk County, Iowa,36
894,Monroe County, Iowa,37.99
895,Tama County, Iowa,35.01
896,Wapello County, Iowa,37.4
897,Sioux County, Iowa,34
898,Franklin County, Iowa,51.01
899,Calhoun County, Iowa,39.2
900,Carroll County, Iowa,41
901,Cedar County, Iowa,37.99
902,Cerro Gordo County, Iowa,34
903,Floyd County, Iowa,72
904,Greene County, Iowa,46.4
905,Hardin County, Iowa,80.6
906,Louisa County, Iowa,42.8
907,Lucas County, Iowa,37.4
908,Lyon County, Iowa,46.4
909,Winnebago County, Iowa,36
910,Palo Alto County, Iowa,34
911,Shelby County, Iowa,63
912,Appanoose County, Iowa,36
913,Henry County, Iowa,77
914,Iowa County, Iowa,35.6
915,Jasper County, Iowa,78.8
916,Page County, Iowa,39.99
917,Winneshiek County, Iowa,35.01
918,Poweshiek County, Iowa,36
919,Pottawattamie County, Iowa,37
920,Marshall County, Iowa,69.01
921,Clayton County, Iowa,77
922,Boone County, Iowa,46.99
923,Bremer County, Iowa,35.01
924,Buena Vista County, Iowa,33.8
925,Howard County, Iowa,41
926,Emmet County, Iowa,39
927,Guthrie County, Iowa,35.01
928,Hancock County, Iowa,43
929,Humboldt County, Iowa,51.8
930,Madison County, Iowa,66.99
931,Marion County, Iowa,48
932,Washington County, Iowa,50
933,Wright County, Iowa,36
934,Cass County, Iowa,37.4
935,Cherokee County, Iowa,75.2
936,Crawford County, Iowa,48
937,Des Moines County, Iowa,39.99
938,Fayette County, Iowa,77
939,Harrison County, Iowa,72
940,Kossuth County, Iowa,34
941,Mills County, Iowa,78.01
942,Monona County, Iowa,36
943,Muscatine County, Iowa,37.99
944,Osceola County, Iowa,82.99
945,Polk County, Iowa,84.2
946,Webster County, Iowa,35.01
947,Story County, Iowa,35.01
948,Woodbury County, Iowa,34
949,Black Hawk County, Iowa,35.01
950,Grundy County, Iowa,39.99
951,Jackson County, Iowa,51.01
952,Jones County, Iowa,77
953,Lee County, Iowa,84.99
954,Mitchell County, Iowa,63
955,Montgomery County, Iowa,42.01
956,Warren County, Iowa,46.99
957,Sac County, Iowa,55
958,Mahaska County, Iowa,36
959,Plymouth County, Iowa,45
960,Buchanan County, Iowa,44.6
961,Clay County, Iowa,82.4
962,Clinton County, Iowa,37.99
963,Decatur County, Iowa,45
964,Smith County, Kansas,81
965,Grant County, Kansas,37.4
966,Jackson County, Kansas,51.01
967,Kingman County, Kansas,57.2
968,Logan County, Kansas,46
969,Cherokee County, Kansas,75.2
970,Nemaha County, Kansas,41
971,Pottawatomie County, Kansas,43
972,Wyandotte County, Kansas,44.6
973,Butler County, Kansas,46.99
974,Clay County, Kansas,82.4
975,Lincoln County, Kansas,48.2
976,Saline County, Kansas,75.99
977,Sumner County, Kansas,64.99
978,Trego County, Kansas,44.01
979,Wabaunsee County, Kansas,44.6
980,Wilson County, Kansas,54
981,Woodson County, Kansas,53.6
982,Mitchell County, Kansas,63
983,Ness County, Kansas,46.99
984,Osborne County, Kansas,42.8
985,Atchison County, Kansas,43
986,Bourbon County, Kansas,57.2
987,Finney County, Kansas,55.4
988,Hamilton County, Kansas,46.99
989,Kiowa County, Kansas,53.6
990,Leavenworth County, Kansas,44.6
991,Shawnee County, Kansas,43
992,Sherman County, Kansas,39.99
993,Stanton County, Kansas,59
994,Thomas County, Kansas,78.8
995,Meade County, Kansas,35.01
996,Montgomery County, Kansas,42.01
997,Morris County, Kansas,48.2
998,Pratt County, Kansas,57.2
999,Rawlins County, Kansas,44.01
1000,Rooks County, Kansas,42.8
1001,Anderson County, Kansas,52
1002,Clark County, Kansas,60.01
1003,Ellsworth County, Kansas,51.01
1004,Geary County, Kansas,42.8
1005,Harper County, Kansas,63
1006,Ford County, Kansas,53.01
1007,Russell County, Kansas,75.99
1008,Lyon County, Kansas,46.4
1009,Marshall County, Kansas,69.01
1010,Pawnee County, Kansas,46.4
1011,Allen County, Kansas,41
1012,Cheyenne County, Kansas,35.6
1013,Comanche County, Kansas,75.2
1014,Cowley County, Kansas,63
1015,Elk County, Kansas,43
1016,Gove County, Kansas,48
1017,Franklin County, Kansas,51.01
1018,Harvey County, Kansas,55.4
1019,Hodgeman County, Kansas,53.01
1020,Jewell County, Kansas,37.4
1021,Kearny County, Kansas,57.2
1022,Rice County, Kansas,35.6
1023,Stafford County, Kansas,43
1024,McPherson County, Kansas,52
1025,Osage County, Kansas,68
1026,Greeley County, Kansas,53.6
1027,Coffey County, Kansas,46.99
1028,Crawford County, Kansas,48
1029,Ellis County, Kansas,80.01
1030,Greenwood County, Kansas,71.01
1031,Labette County, Kansas,61
1032,Linn County, Kansas,35.6
1033,Sedgwick County, Kansas,55.4
1034,Seward County, Kansas,60.8
1035,Republic County, Kansas,39
1036,Graham County, Kansas,60.8
1037,Johnson County, Kansas,44.6
1038,Douglas County, Kansas,52
1039,Sheridan County, Kansas,34
1040,Miami County, Kansas,44.6
1041,Gray County, Kansas,69.8
1042,Wallace County, Kansas,46.99
1043,Chase County, Kansas,53.6
1044,Stevens County, Kansas,33.01
1045,Washington County, Kansas,50
1046,Wichita County, Kansas,75.99
1047,Chautauqua County, Kansas,46
1048,Morton County, Kansas,23
1049,Norton County, Kansas,42.8
1050,Reno County, Kansas,55.4
1051,Barton County, Kansas,46.99
1052,Cloud County, Kansas,42.01
1053,Doniphan County, Kansas,41
1054,Edwards County, Kansas,78.8
1055,Haskell County, Kansas,70.01
1056,Lane County, Kansas,46.4
1057,Rush County, Kansas,44.6
1058,Scott County, Kansas,36
1059,Marion County, Kansas,48
1060,Neosho County, Kansas,59
1061,Brown County, Kansas,37
1062,Ottawa County, Kansas,39.2
1063,Phillips County, Kansas,69.01
1064,Riley County, Kansas,42.8
1065,Barber County, Kansas,62.6
1066,Decatur County, Kansas,45
1067,Dickinson County, Kansas,33.8
1068,Jefferson County, Kansas,52
1069,Harrison County, Kentucky,72
1070,Butler County, Kentucky,46.99
1071,Trimble County, Kentucky,59
1072,Edmonson County, Kentucky,64.4
1073,Hickman County, Kentucky,64.99
1074,Bracken County, Kentucky,48.2
1075,Lyon County, Kentucky,46.4
1076,Nelson County, Kentucky,39.2
1077,Wayne County, Kentucky,37
1078,Lewis County, Kentucky,46.99
1079,Marion County, Kentucky,48
1080,Trigg County, Kentucky,66
1081,Woodford County, Kentucky,45
1082,Boone County, Kentucky,46.99
1083,Leslie County, Kentucky,59
1084,Jessamine County, Kentucky,57.2
1085,Knox County, Kentucky,64.99
1086,Lawrence County, Kentucky,48
1087,Letcher County, Kentucky,64
1088,Livingston County, Kentucky,37.4
1089,McCracken County, Kentucky,66.99
1090,Pike County, Kentucky,48.2
1091,Shelby County, Kentucky,63
1092,Whitley County, Kentucky,39.2
1093,Anderson County, Kentucky,52
1094,Breckinridge County, Kentucky,63
1095,Floyd County, Kentucky,72
1096,Franklin County, Kentucky,51.01
1097,Kenton County, Kentucky,46.99
1098,McCreary County, Kentucky,59
1099,Madison County, Kentucky,66.99
1100,Magoffin County, Kentucky,64
1101,Metcalfe County, Kentucky,64.4
1102,Owsley County, Kentucky,59
1103,Rowan County, Kentucky,48.2
1104,Simpson County, Kentucky,64.99
1105,Taylor County, Kentucky,77
1106,Clark County, Kentucky,60.01
1107,Todd County, Kentucky,37.4
1108,Carlisle County, Kentucky,68
1109,Carroll County, Kentucky,41
1110,Clinton County, Kentucky,37.99
1111,Estill County, Kentucky,59
1112,Gallatin County, Kentucky,28
1113,Garrard County, Kentucky,57.99
1114,Greenup County, Kentucky,57.99
1115,Fleming County, Kentucky,51.01
1116,Campbell County, Kentucky,39.99
1117,Carter County, Kentucky,66.2
1118,Elliott County, Kentucky,62.6
1119,Grant County, Kentucky,37.4
1120,Jefferson County, Kentucky,52
1121,Larue County, Kentucky,61
1122,Logan County, Kentucky,46
1123,Mason County, Kentucky,46.99
1124,Mercer County, Kentucky,51.01
1125,Pendleton County, Kentucky,48
1126,Robertson County, Kentucky,66
1127,Russell County, Kentucky,75.99
1128,Spencer County, Kentucky,59
1129,Washington County, Kentucky,50
1130,Bath County, Kentucky,37.4
1131,Ballard County, Kentucky,68
1132,Barren County, Kentucky,64.4
1133,Boyle County, Kentucky,57.99
1134,Green County, Kentucky,36
1135,Hancock County, Kentucky,43
1136,Harlan County, Kentucky,64
1137,Martin County, Kentucky,80.6
1138,Hardin County, Kentucky,80.6
1139,Lincoln County, Kentucky,48.2
1140,McLean County, Kentucky,45
1141,Monroe County, Kentucky,37.99
1142,Ohio County, Kentucky,63
1143,Powell County, Kentucky,59
1144,Union County, Kentucky,51.01
1145,Webster County, Kentucky,35.01
1146,Caldwell County, Kentucky,48
1147,Calloway County, Kentucky,66.99
1148,Casey County, Kentucky,57.99
1149,Christian County, Kentucky,66.2
1150,Daviess County, Kentucky,64.4
1151,Grayson County, Kentucky,77
1152,Henderson County, Kentucky,51.01
1153,Henry County, Kentucky,77
1154,Hopkins County, Kentucky,78.8
1155,Jackson County, Kentucky,51.01
1156,Laurel County, Kentucky,57.2
1157,Marshall County, Kentucky,69.01
1158,Meade County, Kentucky,35.01
1159,Montgomery County, Kentucky,42.01
1160,Nicholas County, Kentucky,57
1161,Oldham County, Kentucky,60.01
1162,Owen County, Kentucky,50
1163,Rockcastle County, Kentucky,57.99
1164,Scott County, Kentucky,36
1165,Warren County, Kentucky,46.99
1166,Allen County, Kentucky,41
1167,Bourbon County, Kentucky,57.2
1168,Boyd County, Kentucky,57.99
1169,Bullitt County, Kentucky,60.01
1170,Crittenden County, Kentucky,64
1171,Fayette County, Kentucky,77
1172,Fulton County, Kentucky,77
1173,Johnson County, Kentucky,44.6
1174,Knott County, Kentucky,64
1175,Menifee County, Kentucky,59
1176,Morgan County, Kentucky,44.01
1177,Muhlenberg County, Kentucky,64.99
1178,Perry County, Kentucky,44.6
1179,Pulaski County, Kentucky,75.99
1180,Wolfe County, Kentucky,64
1181,Clay County, Kentucky,82.4
1182,Adair County, Kentucky,60.01
1183,Bell County, Kentucky,84.2
1184,Breathitt County, Kentucky,64
1185,Cumberland County, Kentucky,55.99
1186,Graves County, Kentucky,66.99
1187,Hart County, Kentucky,55.99
1188,Lee County, Kentucky,84.99
1189,Hancock County, Maine,43
1190,Oxford County, Maine,39.2
1191,Lincoln County, Maine,48.2
1192,Waldo County, Maine,37
1193,Penobscot County, Maine,33.8
1194,Piscataquis County, Maine,28.4
1195,Androscoggin County, Maine,39.99
1196,Aroostook County, Maine,23
1197,Washington County, Maine,50
1198,Cumberland County, Maine,55.99
1199,Knox County, Maine,64.99
1200,Sagadahoc County, Maine,39.99
1201,York County, Maine,48.99
1202,Kennebec County, Maine,39.99
1203,Franklin County, Maine,51.01
1204,Somerset County, Maine,48.99
1205,Vermilion Parish, Louisiana,75
1206,St. Charles Parish, Louisiana,79
1207,Lafourche Parish, Louisiana,79
1208,Concordia Parish, Louisiana,78.8
1209,Tensas Parish, Louisiana,78.8
1210,West Feliciana Parish, Louisiana,80.6
1211,Jefferson Davis Parish, Louisiana,77
1212,St. James Parish, Louisiana,80.01
1213,Grant Parish, Louisiana,79
1214,Jefferson Parish, Louisiana,79
1215,Beauregard Parish, Louisiana,79
1216,Bienville Parish, Louisiana,75.2
1217,Bossier Parish, Louisiana,78.01
1218,Cameron Parish, Louisiana,75.2
1219,East Feliciana Parish, Louisiana,80.6
1220,St. John the Baptist Parish, Louisiana,80.01
1221,Plaquemines Parish, Louisiana,73.4
1222,Ouachita Parish, Louisiana,78.8
1223,Rapides Parish, Louisiana,79
1224,Washington Parish, Louisiana,79
1225,St. Landry Parish, Louisiana,77
1226,Tangipahoa Parish, Louisiana,80.01
1227,Acadia Parish, Louisiana,75.2
1228,St. Mary Parish, Louisiana,75.99
1229,West Carroll Parish, Louisiana,78.8
1230,St. Tammany Parish, Louisiana,79
1231,Union Parish, Louisiana,78.8
1232,Caldwell Parish, Louisiana,79
1233,Caddo Parish, Louisiana,78.01
1234,East Carroll Parish, Louisiana,78.01
1235,Ascension Parish, Louisiana,80.01
1236,Lafayette Parish, Louisiana,75.2
1237,Evangeline Parish, Louisiana,78.8
1238,Iberia Parish, Louisiana,75.2
1239,Lincoln Parish, Louisiana,78.8
1240,St. Bernard Parish, Louisiana,75
1241,St. Helena Parish, Louisiana,80.6
1242,Webster Parish, Louisiana,78.01
1243,West Baton Rouge Parish, Louisiana,80.6
1244,De Soto Parish, Louisiana,78.01
1245,Iberville Parish, Louisiana,80.6
1246,Red River Parish, Louisiana,77
1247,Livingston Parish, Louisiana,80.6
1248,Morehouse Parish, Louisiana,78.8
1249,Natchitoches Parish, Louisiana,79
1250,Orleans Parish, Louisiana,79
1251,Terrebonne Parish, Louisiana,78.01
1252,Catahoula Parish, Louisiana,79
1253,Calcasieu Parish, Louisiana,78.8
1254,Claiborne Parish, Louisiana,78.01
1255,Franklin Parish, Louisiana,78.8
1256,Avoyelles Parish, Louisiana,78.8
1257,Assumption Parish, Louisiana,80.6
1258,Jackson Parish, Louisiana,79
1259,East Baton Rouge Parish, Louisiana,80.6
1260,Pointe Coupee Parish, Louisiana,80.6
1261,Richland Parish, Louisiana,78.8
1262,St. Martin Parish, Louisiana,79
1263,Vernon Parish, Louisiana,78.8
1264,Winn Parish, Louisiana,79
1265,Sabine Parish, Louisiana,78.8
1266,Allen Parish, Louisiana,78.8
1267,Madison Parish, Louisiana,78.01
1268,Suffolk County, Massachusetts,46.4
1269,Barnstable County, Massachusetts,41
1270,Dukes County, Massachusetts,44.6
1271,Middlesex County, Massachusetts,48.99
1272,Berkshire County, Massachusetts,46
1273,Bristol County, Massachusetts,46.4
1274,Hampden County, Massachusetts,46.4
1275,Plymouth County, Massachusetts,45
1276,Essex County, Massachusetts,48.2
1277,Franklin County, Massachusetts,51.01
1278,Norfolk County, Massachusetts,45
1279,Worcester County, Massachusetts,46
1280,Hampshire County, Massachusetts,46.4
1281,Nantucket County, Massachusetts,39.2
1282,Worcester County, Maryland,46
1283,Baltimore city, Maryland,41
1284,Somerset County, Maryland,48.99
1285,Talbot County, Maryland,43
1286,Harford County, Maryland,43
1287,Allegany County, Maryland,44.01
1288,Howard County, Maryland,41
1289,Prince George's County, Maryland,42.01
1290,Anne Arundel County, Maryland,42.01
1291,Baltimore County, Maryland,41
1292,Frederick County, Maryland,41
1293,Calvert County, Maryland,42.8
1294,Garrett County, Maryland,42.01
1295,Kent County, Maryland,39.2
1296,Montgomery County, Maryland,42.01
1297,Carroll County, Maryland,41
1298,Queen Anne's County, Maryland,42.01
1299,St. Mary's County, Maryland,43
1300,Charles County, Maryland,42.01
1301,Dorchester County, Maryland,73.99
1302,Washington County, Maryland,50
1303,Wicomico County, Maryland,44.6
1304,Cecil County, Maryland,46.99
1305,Caroline County, Maryland,42.8
1306,Berrien County, Michigan,39.99
1307,Ogemaw County, Michigan,33.8
1308,Oscoda County, Michigan,36
1309,Wexford County, Michigan,39.2
1310,Crawford County, Michigan,48
1311,Clinton County, Michigan,37.99
1312,Dickinson County, Michigan,33.8
1313,Gratiot County, Michigan,37.99
1314,Huron County, Michigan,33.01
1315,Ingham County, Michigan,37.99
1316,Lenawee County, Michigan,37.4
1317,Mason County, Michigan,46.99
1318,Menominee County, Michigan,34
1319,Montcalm County, Michigan,37.99
1320,Missaukee County, Michigan,37
1321,St. Joseph County, Michigan,39.2
1322,St. Clair County, Michigan,36
1323,Van Buren County, Michigan,39.2
1324,Washtenaw County, Michigan,37.4
1325,Arenac County, Michigan,34
1326,Barry County, Michigan,39.2
1327,Cass County, Michigan,37.4
1328,Iron County, Michigan,44.6
1329,Benzie County, Michigan,39.2
1330,Roscommon County, Michigan,34
1331,Schoolcraft County, Michigan,34
1332,Wayne County, Michigan,37
1333,Branch County, Michigan,39.2
1334,Grand Traverse County, Michigan,41
1335,Jackson County, Michigan,51.01
1336,Mackinac County, Michigan,36
1337,Genesee County, Michigan,37
1338,Antrim County, Michigan,39.2
1339,Houghton County, Michigan,36
1340,Livingston County, Michigan,37.4
1341,Iosco County, Michigan,32
1342,Lake County, Michigan,39.2
1343,Manistee County, Michigan,39.2
1344,Montmorency County, Michigan,36
1345,Presque Isle County, Michigan,32
1346,Gladwin County, Michigan,35.6
1347,Kalamazoo County, Michigan,39.2
1348,Mecosta County, Michigan,37.4
1349,Marquette County, Michigan,36
1350,Newaygo County, Michigan,39
1351,Osceola County, Michigan,82.99
1352,Otsego County, Michigan,44.01
1353,Calhoun County, Michigan,39.2
1354,Cheboygan County, Michigan,39
1355,Luce County, Michigan,30.2
1356,Kent County, Michigan,39.2
1357,Macomb County, Michigan,36
1358,Saginaw County, Michigan,37.4
1359,Shiawassee County, Michigan,37.99
1360,Baraga County, Michigan,36
1361,Bay County, Michigan,79
1362,Charlevoix County, Michigan,39
1363,Eaton County, Michigan,37.99
1364,Delta County, Michigan,46.4
1365,Gogebic County, Michigan,41
1366,Emmet County, Michigan,39
1367,Chippewa County, Michigan,37.4
1368,Monroe County, Michigan,37.99
1369,Allegan County, Michigan,39.2
1370,Oakland County, Michigan,36
1371,Hillsdale County, Michigan,37.4
1372,Alger County, Michigan,33.8
1373,Muskegon County, Michigan,39
1374,Oceana County, Michigan,39
1375,Leelanau County, Michigan,41
1376,Lapeer County, Michigan,36
1377,Clare County, Michigan,35.6
1378,Sanilac County, Michigan,35.6
1379,Keweenaw County, Michigan,34
1380,Isabella County, Michigan,37
1381,Ontonagon County, Michigan,39
1382,Ottawa County, Michigan,39.2
1383,Tuscola County, Michigan,36
1384,Alcona County, Michigan,30.2
1385,Alpena County, Michigan,30.2
1386,Ionia County, Michigan,39
1387,Kalkaska County, Michigan,41
1388,Midland County, Michigan,37.4
1389,Wilkin County, Minnesota,32
1390,Red Lake County, Minnesota,30.99
1391,Aitkin County, Minnesota,39.2
1392,Clay County, Minnesota,82.4
1393,Faribault County, Minnesota,34
1394,Murray County, Minnesota,66
1395,Fillmore County, Minnesota,36
1396,Kandiyohi County, Minnesota,33.8
1397,Lake County, Minnesota,39.2
1398,Polk County, Minnesota,84.2
1399,Rock County, Minnesota,36
1400,Roseau County, Minnesota,28.4
1401,Sibley County, Minnesota,35.01
1402,Traverse County, Minnesota,33.01
1403,Watonwan County, Minnesota,34
1404,Becker County, Minnesota,32
1405,Hennepin County, Minnesota,36
1406,Big Stone County, Minnesota,33.01
1407,Brown County, Minnesota,37
1408,Chippewa County, Minnesota,37.4
1409,Cass County, Minnesota,37.4
1410,Clearwater County, Minnesota,30.99
1411,Goodhue County, Minnesota,36
1412,Hubbard County, Minnesota,35.6
1413,Isanti County, Minnesota,37.4
1414,Jackson County, Minnesota,51.01
1415,Martin County, Minnesota,80.6
1416,Mower County, Minnesota,35.01
1417,Nobles County, Minnesota,33.8
1418,Pine County, Minnesota,39.2
1419,Olmsted County, Minnesota,36
1420,Cottonwood County, Minnesota,33.01
1421,Scott County, Minnesota,36
1422,Dodge County, Minnesota,35.01
1423,Wabasha County, Minnesota,36
1424,Pipestone County, Minnesota,35.01
1425,Crow Wing County, Minnesota,37.4
1426,Norman County, Minnesota,30.2
1427,Wright County, Minnesota,36
1428,Nicollet County, Minnesota,34
1429,Douglas County, Minnesota,52
1430,Grant County, Minnesota,37.4
1431,Kittson County, Minnesota,28.4
1432,Le Sueur County, Minnesota,35.6
1433,Mahnomen County, Minnesota,32
1434,Chisago County, Minnesota,37.4
1435,Redwood County, Minnesota,35.01
1436,Yellow Medicine County, Minnesota,35.6
1437,Todd County, Minnesota,37.4
1438,Beltrami County, Minnesota,30.99
1439,Blue Earth County, Minnesota,34
1440,Houston County, Minnesota,78.01
1441,Lac qui Parle County, Minnesota,35.6
1442,Lake of the Woods County, Minnesota,28.4
1443,Otter Tail County, Minnesota,32
1444,Waseca County, Minnesota,34
1445,St. Louis County, Minnesota,69.01
1446,Anoka County, Minnesota,37.4
1447,Stearns County, Minnesota,36
1448,Dakota County, Minnesota,36
1449,Lincoln County, Minnesota,48.2
1450,Lyon County, Minnesota,46.4
1451,Marshall County, Minnesota,69.01
1452,Mille Lacs County, Minnesota,39
1453,Renville County, Minnesota,33.8
1454,Washington County, Minnesota,50
1455,Carlton County, Minnesota,39.2
1456,Cook County, Minnesota,41
1457,Kanabec County, Minnesota,39.2
1458,Koochiching County, Minnesota,37.4
1459,Meeker County, Minnesota,35.01
1460,Morrison County, Minnesota,37.4
1461,Pennington County, Minnesota,33.01
1462,Rice County, Minnesota,35.6
1463,Steele County, Minnesota,35.01
1464,Sherburne County, Minnesota,37.4
1465,Wadena County, Minnesota,37.4
1466,Benton County, Minnesota,37.99
1467,Carver County, Minnesota,36
1468,Freeborn County, Minnesota,34
1469,Itasca County, Minnesota,35.6
1470,McLeod County, Minnesota,35.6
1471,Pope County, Minnesota,75.2
1472,Ramsey County, Minnesota,36
1473,Stevens County, Minnesota,33.01
1474,Swift County, Minnesota,33.8
1475,Winona County, Minnesota,36
1476,Hancock County, Mississippi,43
1477,LaSalle Parish, Louisiana,79
1478,Sharkey County, Mississippi,77
1479,Tippah County, Mississippi,71.01
1480,Choctaw County, Mississippi,77
1481,Forrest County, Mississippi,78.01
1482,Itawamba County, Mississippi,73
1483,Lafayette County, Mississippi,55.4
1484,Issaquena County, Mississippi,77
1485,Jackson County, Mississippi,51.01
1486,Lowndes County, Mississippi,80.6
1487,Leflore County, Mississippi,75.2
1488,Tunica County, Mississippi,66.2
1489,Wilkinson County, Mississippi,78.01
1490,Claiborne County, Mississippi,63
1491,Harrison County, Mississippi,72
1492,Jefferson Davis County, Mississippi,78.01
1493,Simpson County, Mississippi,64.99
1494,Lauderdale County, Mississippi,71.01
1495,Lincoln County, Mississippi,48.2
1496,Scott County, Mississippi,36
1497,Winston County, Mississippi,70
1498,Yazoo County, Mississippi,80.6
1499,Attala County, Mississippi,75.2
1500,Benton County, Mississippi,37.99
1501,Franklin County, Mississippi,51.01
1502,Coahoma County, Mississippi,66.2
1503,Jasper County, Mississippi,78.8
1504,Jones County, Mississippi,77
1505,Walthall County, Mississippi,78.8
1506,Monroe County, Mississippi,37.99
1507,Pontotoc County, Mississippi,75.2
1508,Sunflower County, Mississippi,75.2
1509,Webster County, Mississippi,35.01
1510,Alcorn County, Mississippi,71.01
1511,Adams County, Mississippi,52
1512,Clay County, Mississippi,82.4
1513,DeSoto County, Mississippi,64
1514,Covington County, Mississippi,77
1515,Humphreys County, Mississippi,66.2
1516,Calhoun County, Mississippi,39.2
1517,Holmes County, Mississippi,51.01
1518,Amite County, Mississippi,78.8
1519,Madison County, Mississippi,66.99
1520,Marion County, Mississippi,48
1521,Tishomingo County, Mississippi,71.01
1522,Wayne County, Mississippi,37
1523,Greene County, Mississippi,46.4
1524,Marshall County, Mississippi,69.01
1525,Quitman County, Mississippi,75.99
1526,Bolivar County, Mississippi,66.2
1527,Lamar County, Mississippi,77
1528,Lee County, Mississippi,84.99
1529,Pike County, Mississippi,48.2
1530,Tallahatchie County, Mississippi,75.2
1531,Smith County, Mississippi,81
1532,Stone County, Mississippi,68
1533,Warren County, Mississippi,46.99
1534,Clarke County, Mississippi,75
1535,Kemper County, Mississippi,77
1536,Montgomery County, Mississippi,42.01
1537,Oktibbeha County, Mississippi,73
1538,Neshoba County, Mississippi,77
1539,Pearl River County, Mississippi,77
1540,Leake County, Mississippi,77
1541,Noxubee County, Mississippi,75.2
1542,Rankin County, Mississippi,80.6
1543,Tate County, Mississippi,68
1544,Washington County, Mississippi,50
1545,Lawrence County, Mississippi,48
1546,Panola County, Mississippi,80.6
1547,Perry County, Mississippi,44.6
1548,Yalobusha County, Mississippi,75.2
1549,Chickasaw County, Mississippi,73
1550,Carroll County, Mississippi,41
1551,Copiah County, Mississippi,80.6
1552,George County, Mississippi,72
1553,Grenada County, Mississippi,75.2
1554,Hinds County, Mississippi,80.6
1555,Jefferson County, Mississippi,52
1556,Newton County, Mississippi,75.2
1557,Union County, Mississippi,51.01
1558,Prentiss County, Mississippi,71.01
1559,Howell County, Missouri,71.01
1560,Carter County, Missouri,66.2
1561,Dade County, Missouri,82.4
1562,Linn County, Missouri,35.6
1563,Johnson County, Missouri,44.6
1564,Laclede County, Missouri,64.4
1565,Maries County, Missouri,66.99
1566,Phelps County, Missouri,66.99
1567,Platte County, Missouri,44.6
1568,St. Francois County, Missouri,69.01
1569,St. Louis city, Missouri,69.01
1570,Andrew County, Missouri,41
1571,Butler County, Missouri,46.99
1572,Carroll County, Missouri,41
1573,Daviess County, Missouri,64.4
1574,Holt County, Missouri,30
1575,Knox County, Missouri,64.99
1576,Ripley County, Missouri,48
1577,Marion County, Missouri,48
1578,Montgomery County, Missouri,42.01
1579,Osage County, Missouri,68
1580,Stoddard County, Missouri,68
1581,Warren County, Missouri,46.99
1582,Washington County, Missouri,50
1583,Audrain County, Missouri,59
1584,Christian County, Missouri,66.2
1585,DeKalb County, Missouri,77
1586,Greene County, Missouri,46.4
1587,Harrison County, Missouri,72
1588,Lafayette County, Missouri,55.4
1589,St. Clair County, Missouri,36
1590,Adair County, Missouri,60.01
1591,Schuyler County, Missouri,45
1592,Scotland County, Missouri,57
1593,Sullivan County, Missouri,46.99
1594,Camden County, Missouri,50
1595,Clark County, Missouri,60.01
1596,Jasper County, Missouri,78.8
1597,Jefferson County, Missouri,52
1598,Lewis County, Missouri,46.99
1599,McDonald County, Missouri,69.01
1600,New Madrid County, Missouri,68
1601,Perry County, Missouri,44.6
1602,Polk County, Missouri,84.2
1603,Ralls County, Missouri,59
