,County,State,Temp
155,Matanuska-Susitna Borough, Alaska,39.99
156,Yakutat City and Borough, Alaska,39.2
157,Nome Census Area, Alaska,33.01
158,Dillingham Census Area, Alaska,33.8
159,Haines Borough, Alaska,39.2
160,Juneau City and Borough, Alaska,42.8
161,Lake and Peninsula Borough, Alaska,37.4
162,Southeast Fairbanks Census Area, Alaska,21.28
163,Yukon-Koyukuk Census Area, Alaska,24.8
164,Anchorage Municipality, Alaska,39.99
165,Aleutians East Borough, Alaska,39.2
166,Prince of Wales-Hyder Census Area, Alaska,44.6
167,Wrangell City and Borough, Alaska,37.99
168,Hoonah-Angoon Census Area, Alaska,42.8
169,Skagway Municipality, Alaska,39.2
170,Petersburg Borough, Alaska,41
171,Kusilvak Census Area, Alaska,33.8
172,Pima County, Arizona,64.99
173,Maricopa County, Arizona,68
174,Gila County, Arizona,64
175,Graham County, Arizona,60.8
176,Santa Cruz County, Arizona,55
177,Cochise County, Arizona,63
178,La Paz County, Arizona,66
179,Mohave County, Arizona,55.4
180,Apache County, Arizona,46.4
181,Coconino County, Arizona,46.99
182,Yavapai County, Arizona,57
183,Yuma County, Arizona,64
184,Greenlee County, Arizona,61
185,Navajo County, Arizona,55.4
186,Pinal County, Arizona,66
187,White County, Arkansas,59
188,Nevada County, Arkansas,54
189,St. Francis County, Arkansas,64.99
190,Pulaski County, Arkansas,75.99
191,Clay County, Arkansas,82.4
192,Cross County, Arkansas,48.2
193,Dallas County, Arkansas,79
194,Drew County, Arkansas,64.4
195,Columbia County, Arkansas,78.8
196,Randolph County, Arkansas,48
197,Saline County, Arkansas,75.99
198,Van Buren County, Arkansas,39.2
199,Boone County, Arkansas,46.99
200,Izard County, Arkansas,73.4
201,Independence County, Arkansas,73.4
202,Lincoln County, Arkansas,48.2
203,Logan County, Arkansas,46
204,Grant County, Arkansas,37.4
205,Crittenden County, Arkansas,64
206,Franklin County, Arkansas,51.01
207,Faulkner County, Arkansas,75.99
208,Pike County, Arkansas,48.2
209,Jefferson County, Arkansas,52
210,Marion County, Arkansas,48
211,Montgomery County, Arkansas,42.01
212,Scott County, Arkansas,36
213,Searcy County, Arkansas,73.4
214,Sebastian County, Arkansas,75.99
215,Crawford County, Arkansas,48
216,Benton County, Arkansas,37.99
217,Chicot County, Arkansas,66.2
218,Hot Spring County, Arkansas,75.99
219,Johnson County, Arkansas,44.6
220,Lee County, Arkansas,84.99
221,Madison County, Arkansas,66.99
222,Desha County, Arkansas,71.6
223,Fulton County, Arkansas,77
224,Howard County, Arkansas,41
225,Garland County, Arkansas,75.99
226,Mississippi County, Arkansas,68
227,Pope County, Arkansas,75.2
228,Prairie County, Arkansas,73.4
229,Union County, Arkansas,51.01
230,Woodruff County, Arkansas,73.4
231,Cleburne County, Arkansas,75.2
232,Cleveland County, Arkansas,46.4
233,Jackson County, Arkansas,51.01
234,Hempstead County, Arkansas,78.01
235,Sharp County, Arkansas,73
236,Stone County, Arkansas,68
237,Washington County, Arkansas,50
238,Greene County, Arkansas,46.4
239,Baxter County, Arkansas,73.4
240,Ashley County, Arkansas,66.2
241,Craighead County, Arkansas,68
242,Lafayette County, Arkansas,55.99
243,Perry County, Arkansas,45
244,Yell County, Arkansas,75.2
245,Phillips County, Arkansas,66.2
246,Poinsett County, Arkansas,66.2
247,Sevier County, Arkansas,64.99
248,Calhoun County, Arkansas,39.2
249,Clark County, Arkansas,60.01
250,Bradley County, Arkansas,66
251,Lawrence County, Arkansas,48
252,Monroe County, Arkansas,37.99
253,Polk County, Arkansas,84.2
254,Conway County, Arkansas,75.99
255,Ouachita County, Arkansas,78.8
256,Newton County, Arkansas,75.2
257,Arkansas County, Arkansas,71.6
258,Little River County, Arkansas,75.99
259,Lonoke County, Arkansas,75.99
260,Carroll County, Arkansas,41
261,Miller County, Arkansas,78.01
262,Modoc County, California,33.8
263,Merced County, California,57.2
264,Lake County, California,39.2
265,Mariposa County, California,57.2
266,Yuba County, California,54
267,Contra Costa County, California,57
268,Inyo County, California,44.23
269,Lassen County, California,39.2
270,Stanislaus County, California,57
271,Santa Barbara County, California,60.8
272,Sonoma County, California,53.01
273,Tehama County, California,46.4
274,Imperial County, California,66.2
275,Mono County, California,55.4
276,San Benito County, California,55.99
277,Alameda County, California,55.4
278,Sacramento County, California,55
279,El Dorado County, California,52
280,Napa County, California,57
281,San Diego County, California,60.8
282,Monterey County, California,54
283,San Francisco County, California,55.99
284,Sierra County, California,44.6
285,Tulare County, California,60.01
286,Yolo County, California,55.4
287,Humboldt County, California,51.8
288,Nevada County, California,54
289,Alpine County, California,45
290,Madera County, California,57.2
291,Mendocino County, California,48.2
292,Santa Cruz County, California,55
293,Trinity County, California,42.8
294,Los Angeles County, California,62.01
295,Riverside County, California,63
296,San Bernardino County, California,60.8
297,Santa Clara County, California,55
298,Marin County, California,55.99
299,Placer County, California,54
300,Siskiyou County, California,51.01
301,Shasta County, California,42.8
302,Solano County, California,57
303,Del Norte County, California,51.8
304,Colusa County, California,52
305,Glenn County, California,48
306,Butte County, California,52
307,Kings County, California,60.01
308,Plumas County, California,39.2
309,San Luis Obispo County, California,55.99
310,Fresno County, California,57.2
311,Kern County, California,60.01
312,Orange County, California,63
313,Ventura County, California,60.8
314,Calaveras County, California,55.4
315,Sutter County, California,54
316,San Mateo County, California,55.99
317,Tuolumne County, California,55.4
318,San Joaquin County, California,55.4
319,Amador County, California,54
320,Costilla County, Colorado,44.6
321,Adams County, Colorado,52
322,Conejos County, Colorado,44.6
323,Custer County, Colorado,59
324,Douglas County, Colorado,52
325,Eagle County, Colorado,37
326,Lake County, Colorado,39.2
327,La Plata County, Colorado,48.2
328,Moffat County, Colorado,32
329,Pitkin County, Colorado,37
330,Rio Grande County, Colorado,44.6
331,Cheyenne County, Colorado,35.6
332,Bent County, Colorado,60.8
333,Crowley County, Colorado,60.8
334,Dolores County, Colorado,42.8
335,San Juan County, Colorado,46.99
336,Jackson County, Colorado,51.01
337,Larimer County, Colorado,53.6
338,Logan County, Colorado,46
339,Montezuma County, Colorado,42.8
340,San Miguel County, Colorado,42.8
341,Teller County, Colorado,55.4
342,Yuma County, Colorado,64
343,Boulder County, Colorado,53.6
344,Elbert County, Colorado,52
345,Las Animas County, Colorado,59
346,Lincoln County, Colorado,48.2
347,Clear Creek County, Colorado,52
348,Routt County, Colorado,30.2
349,Summit County, Colorado,48.99
350,Alamosa County, Colorado,44.6
351,Delta County, Colorado,46.4
352,Fremont County, Colorado,44.01
353,Pueblo County, Colorado,60.8
354,Montrose County, Colorado,46.4
355,Morgan County, Colorado,44.01
356,Park County, Colorado,52
357,Saguache County, Colorado,41
358,Mesa County, Colorado,46.4
359,Prowers County, Colorado,57.2
360,Hinsdale County, Colorado,37.99
361,El Paso County, Colorado,64.99
362,Washington County, Colorado,50
363,Grand County, Colorado,35.6
364,Arapahoe County, Colorado,52
365,Otero County, Colorado,64
366,Phillips County, Colorado,66.2
367,Archuleta County, Colorado,39.2
368,Denver County, Colorado,52
369,Kiowa County, Colorado,53.6
370,Huerfano County, Colorado,59
371,Baca County, Colorado,59
372,Chaffee County, Colorado,41
373,Gilpin County, Colorado,53.6
374,Kit Carson County, Colorado,46.99
375,Garfield County, Colorado,41
376,Gunnison County, Colorado,34
377,Jefferson County, Colorado,52
378,Mineral County, Colorado,39.2
379,Ouray County, Colorado,42.8
380,Rio Blanco County, Colorado,41
381,Sedgwick County, Colorado,55.4
382,Weld County, Colorado,53.6
383,New Haven County, Connecticut,46.99
384,Litchfield County, Connecticut,46.99
385,Hartford County, Connecticut,46.99
386,Windham County, Connecticut,46.4
387,New London County, Connecticut,46.99
388,Middlesex County, Connecticut,48.99
389,Tolland County, Connecticut,46.99
390,Fairfield County, Connecticut,52
391,Santa Rosa County, Florida,73.99
392,Broomfield County, Colorado,53.6
393,New Castle County, Delaware,48.99
394,Sussex County, Delaware,44.01
395,Kent County, Delaware,39.2
396,Manatee County, Florida,84.2
397,Citrus County, Florida,84.2
398,Levy County, Florida,82.4
399,Baker County, Florida,35.01
400,Volusia County, Florida,84
401,Leon County, Florida,78.8
402,Broward County, Florida,82
403,Madison County, Florida,66.99
404,Monroe County, Florida,37.99
405,Escambia County, Florida,73
406,Hernando County, Florida,84.2
407,Hillsborough County, Florida,84.2
408,Okaloosa County, Florida,73.99
409,Taylor County, Florida,77
410,Wakulla County, Florida,78.8
411,Washington County, Florida,50
412,Duval County, Florida,82.4
413,Bradford County, Florida,82.4
414,Brevard County, Florida,82
415,Clay County, Florida,82.4
416,Lafayette County, Florida,55.99
417,Lake County, Florida,39.2
418,Nassau County, Florida,46.99
419,Pinellas County, Florida,84.2
420,Polk County, Florida,84.2
421,St. Lucie County, Florida,80.01
422,Glades County, Florida,84.2
423,Hendry County, Florida,86
424,Indian River County, Florida,80.01
425,Jackson County, Florida,51.01
426,Palm Beach County, Florida,81
427,St. Johns County, Florida,81
428,Seminole County, Florida,84
429,Miami-Dade County, Florida,82.4
430,Bay County, Florida,79
431,Flagler County, Florida,82.99
432,Franklin County, Florida,51.01
433,Gulf County, Florida,72
434,Hamilton County, Florida,46.99
435,Liberty County, Florida,82
436,Osceola County, Florida,82.99
437,Sumter County, Florida,84.2
438,Walton County, Florida,75.2
439,Gadsden County, Florida,80.6
440,Holmes County, Florida,51.01
441,Jefferson County, Florida,52
442,Lee County, Florida,84.99
443,Marion County, Florida,48
444,Hardee County, Florida,84.99
445,Collier County, Florida,86
446,Okeechobee County, Florida,82.4
447,Orange County, Florida,63
448,Alachua County, Florida,82.4
449,District of Columbia, District of Columbia,42.8
450,Pasco County, Florida,84.2
451,Gilchrist County, Florida,82.4
452,Highlands County, Florida,84.99
453,Suwannee County, Florida,81
454,DeSoto County, Florida,64
455,Calhoun County, Florida,39.2
456,Charlotte County, Florida,84
457,Columbia County, Florida,78.8
458,Dixie County, Florida,81
459,Martin County, Florida,80.6
460,Putnam County, Florida,46.99
461,Sarasota County, Florida,84
462,Union County, Florida,51.01
463,Clay County, Georgia,82.4
464,Echols County, Georgia,80.6
465,Glynn County, Georgia,80.01
466,DeKalb County, Georgia,77
467,Haralson County, Georgia,77
468,Lincoln County, Georgia,48.2
469,Jackson County, Georgia,51.01
470,Jefferson County, Georgia,52
471,Jones County, Georgia,77
472,Murray County, Georgia,66
473,Muscogee County, Georgia,75.99
474,Pulaski County, Georgia,75.99
475,Rabun County, Georgia,60.01
476,Stewart County, Georgia,66
477,Towns County, Georgia,61
478,Treutlen County, Georgia,79
479,Turner County, Georgia,78.8
480,Irwin County, Georgia,78.8
481,Atkinson County, Georgia,79
482,Appling County, Georgia,79
483,Bacon County, Georgia,79
484,Brantley County, Georgia,80.01
485,Whitfield County, Georgia,66
486,Calhoun County, Georgia,39.2
487,Macon County, Georgia,60.8
488,Troup County, Georgia,77
489,Bibb County, Georgia,75.2
490,Harris County, Georgia,82.4
491,Marion County, Georgia,48
492,Schley County, Georgia,77
493,Worth County, Georgia,34
494,Bleckley County, Georgia,78.01
495,Dooly County, Georgia,77
496,Evans County, Georgia,79
497,Franklin County, Georgia,51.01
498,Webster County, Georgia,35.01
499,Effingham County, Georgia,78.8
500,Lamar County, Georgia,77
501,Glascock County, Georgia,78.8
502,Emanuel County, Georgia,78.8
