Date,RegionID,RegionName,State,Metro,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
1/31/2019,1799,Jackson County,KS,Topeka,1674,101400,0.010967099,0.031536114,0.138047138,0.064453783,0.023987834,2019-01,2019-Q1,101400,0,2019-01
1/31/2019,1984,Pulaski County,IN,,1675,96700,0.004153686,0.021119324,0.170702179,0.05988229,0.022644526,2019-01,2019-Q1,96700,0,2019-01
1/31/2019,1724,Glacier County,MT,,1676,131400,-0.000760456,-0.00755287,0.000761615,0.013629869,,2017-02,2017-Q1,148800,-0.116935484,2016-06
1/31/2019,3180,Presque Isle County,MI,,1677,85700,0.008235294,0.028811525,0.025119617,0.06112923,0.011420935,2019-01,2019-Q1,85700,0,2019-01
1/31/2019,368,Allen County,KS,,1678,69500,-0.00997151,-0.021126761,-0.022503516,0.021132489,0.010349722,2017-10,2017-Q4,71200,-0.023876404,2017-02
1/31/2019,2044,Stewart County,TN,,1679,115000,0,0.013215859,0.137487636,0.069982803,0.032526333,2019-01,2019-Q1,115000,0,2019-01
1/31/2019,3098,Koochiching County,MN,,1680,89500,0.002239642,0.009019166,0.055424528,0.039329692,0.011284393,2019-01,2019-Q1,89500,0,2019-01
1/31/2019,1913,Madison County,VA,,1681,210900,0.004285714,0.017857143,0.107086614,0.044922123,0.007199793,2006-07,2006-Q3,247100,-0.146499393,2005-08
1/31/2019,1045,Goshen County,WY,,1682,176800,0.021374928,0.052380952,0.132607303,0.011107342,,2014-11,2014-Q4,176900,-0.000565291,2014-11
1/31/2019,1715,Fremont County,ID,Rexburg,1683,225300,0.003116652,0.017615176,0.143654822,0.088560927,0.042005805,2019-01,2019-Q1,225300,0,2019-01
1/31/2019,475,Desha County,AR,,1684,46200,0.002169197,-0.006451613,0.124087591,0.004831143,0.012755841,2013-07,2013-Q3,48900,-0.055214724,2013-03
1/31/2019,1242,Morris County,TX,,1685,75700,-0.002635046,0.001322751,0.051388889,0.050400294,0.019836496,2003-01,2003-Q1,83400,-0.092326139,2002-03
1/31/2019,2384,Lawrence County,MS,,1686,97700,-0.002042901,-0.004077472,-0.03458498,0.028483609,0.013546479,2018-03,2018-Q1,101400,-0.036489152,2016-11
1/31/2019,1042,Glades County,FL,,1687,98100,0.004094166,0.020811655,0.197802198,0.073222965,0.001231542,2006-12,2006-Q4,129500,-0.242471042,2005-07
1/31/2019,2143,Big Horn County,MT,,1688,136400,-0.000732601,0.002204262,-0.000732601,0.025438806,0.00716602,2016-05,2016-Q2,143200,-0.047486034,2015-10
1/31/2019,275,Pike County,IN,Jasper,1689,81300,0.004944376,0.040973111,0.258513932,0.097321603,,2019-01,2019-Q1,81300,0,2019-01
1/31/2019,2275,Franklin County,ID,Logan,1690,230300,0.003923278,0.014984575,0.087346553,0.072230396,0.029619002,2019-01,2019-Q1,230300,0,2019-01
1/31/2019,2631,Blackford County,IN,,1691,75200,0.005347594,0.027322404,0.146341463,0.046545714,0.015624567,2019-01,2019-Q1,75200,0,2019-01
1/31/2019,2547,Shoshone County,ID,,1692,124900,0.002407705,0.008071025,0.052232519,0.041953402,0.006986507,2007-10,2007-Q4,127200,-0.018081761,2007-07
1/31/2019,2882,Yalobusha County,MS,,1693,82100,0.009840098,0.028822055,0.060723514,0.049437765,,2017-11,2017-Q4,83700,-0.01911589,2017-02
1/31/2019,3256,Jefferson Davis County,MS,,1694,92200,0,-0.002164502,0,0.03858316,,2018-06,2018-Q2,92700,-0.005393743,2018-01
1/31/2019,2200,Chippewa County,MN,,1695,85800,0.007042254,0.021428571,0.081967213,0.050709108,0.01897087,2019-01,2019-Q1,85800,0,2019-01
1/31/2019,106,Camp County,TX,,1696,112000,0.004484305,-0.005328597,0.048689139,0.043090877,0.022109798,2018-09,2018-Q3,113000,-0.008849558,2018-08
1/31/2019,732,Stone County,AR,,1697,123500,0.008986928,0.075783972,0.282450675,0.071106291,0.053552782,2019-01,2019-Q1,123500,0,2019-01
1/31/2019,3272,Falls Church City,VA,Washington-Arlington-Alexandria,1698,774600,0.00859375,0.025416998,0.048315063,0.036752106,0.031836206,2019-01,2019-Q1,774600,0,2019-01
1/31/2019,680,Perry County,MS,Hattiesburg,1699,106300,0,-0.00093985,-0.003748828,0.039455333,,2017-12,2017-Q4,107500,-0.011162791,2017-10
1/31/2019,1904,Madison County,MO,,1700,94800,0.004237288,0.024864865,0.163190184,0.072201583,0.030644837,2019-01,2019-Q1,94800,0,2019-01
1/31/2019,600,Lewis County,TN,,1701,94500,0,0.013948498,0.156670747,0.087247167,0.046997748,2019-01,2019-Q1,94500,0,2019-01
1/31/2019,3215,Poquoson City,VA,Virginia Beach-Norfolk-Newport News,1702,309500,0.001942376,0.008800522,0.062843407,0.033568737,0.007470881,2019-01,2019-Q1,309500,0,2019-01
1/31/2019,1903,Madison Parish,LA,,1703,43900,0.002283105,0.004576659,-0.045652174,0.005088144,-0.01133322,2007-08,2007-Q3,60100,-0.269550749,2005-11
1/31/2019,2618,Archuleta County,CO,,1704,377000,0.008560728,0.061971831,0.15502451,0.083983413,0.017774781,2019-01,2019-Q1,377000,0,2019-01
1/31/2019,2189,Cherokee County,IA,,1705,100300,0.00501002,0.037228542,0.111973392,0.05293084,0.030877169,2019-01,2019-Q1,100300,0,2019-01
1/31/2019,1392,Sierra County,NM,,1706,80600,-0.001239157,0.00373599,0.057742782,0.0395213,0.0105082,2005-02,2005-Q1,92100,-0.124864278,2004-09
1/31/2019,3008,Rio Grande County,CO,,1707,162100,0.001854141,0.006832298,0.135154062,0.088462638,0.04792861,2019-01,2019-Q1,162100,0,2019-01
1/31/2019,1461,Wabash County,IL,,1708,90400,0.021468927,0.049941928,0.30259366,0.105293394,,2019-01,2019-Q1,90400,0,2019-01
1/31/2019,490,Duval County,TX,,1709,69900,0.007204611,0.004310345,-0.019635344,0.021003722,0.010768626,2018-03,2018-Q1,72900,-0.041152263,2017-10
1/31/2019,1666,Decatur County,TN,,1710,76100,0.005284016,0.02422611,0.124076809,0.057653382,0.027710064,2019-01,2019-Q1,76100,0,2019-01
1/31/2019,638,Meigs County,TN,,1711,149100,0.001343183,0.013596193,0.17679558,0.073879196,0.034316854,2019-01,2019-Q1,149100,0,2019-01
1/31/2019,967,Custer County,MT,,1712,145900,0.005513439,0.011789182,-0.05136541,0.009446279,,2018-03,2018-Q1,154700,-0.056884292,2016-03
1/31/2019,1811,Jackson County,TN,Cookeville,1713,92600,0.001081081,0.008714597,0.185659411,0.086000693,0.042624954,2019-01,2019-Q1,92600,0,2019-01
1/31/2019,3199,West Carroll Parish,LA,,1714,81100,0,0.001234568,-0.001231527,0.026379979,,2017-05,2017-Q2,82100,-0.012180268,2017-01
1/31/2019,2272,Franklin County,FL,,1715,282400,-0.001414427,0.008571429,0.142857143,0.06347545,0.019589838,2005-10,2005-Q4,390700,-0.277194779,2004-06
1/31/2019,222,Lake County,MI,,1716,64500,0.00311042,0.014150943,0.12369338,0.06087373,0.020024033,2006-07,2006-Q3,73600,-0.123641304,2006-03
1/31/2019,2392,Live Oak County,TX,,1717,138800,0.002890173,0.020588235,0.057926829,0.08786303,0.054686011,2017-06,2017-Q2,141400,-0.018387553,2017-05
1/31/2019,1304,Owyhee County,ID,Boise City,1718,217300,0.003231764,0.019230769,0.1300052,0.114807994,0.049531536,2019-01,2019-Q1,217300,0,2019-01
1/31/2019,1350,Ramsey County,ND,,1719,141700,0.004252303,0.007107321,0.024584237,0.060574513,0.059099336,2019-01,2019-Q1,141700,0,2019-01
1/31/2019,2746,Jefferson County,MT,Helena,1720,202900,0.007447865,0.035204082,0.10813763,0.087001461,0.052530882,2019-01,2019-Q1,202900,0,2019-01
1/31/2019,2778,Lancaster County,VA,,1721,222900,-0.001344086,0.004506534,0.020604396,0.012573782,-0.014134442,2006-08,2006-Q3,288200,-0.226578765,2005-04
1/31/2019,1749,Hancock County,IA,,1722,99000,0.007121058,0.012269939,0.036649215,0.049645952,0.030512163,2019-01,2019-Q1,99000,0,2019-01
